timestamp,device,activity,type
2017-09-04T07:43:05+0200,0,94d75815-800e-4a09-a7da-edf31dd0d736,AZV leicht
2017-09-04T07:43:12+0200,0,94d75815-800e-4a09-a7da-edf31dd0d736,AZV leicht
2017-09-04T07:43:18+0200,0,94d75815-800e-4a09-a7da-edf31dd0d736,AZV leicht
2017-09-04T07:43:26+0200,0,94d75815-800e-4a09-a7da-edf31dd0d736,AZV leicht
2017-09-04T07:43:33+0200,0,94d75815-800e-4a09-a7da-edf31dd0d736,AZV leicht
2017-09-04T07:43:39+0200,0,94d75815-800e-4a09-a7da-edf31dd0d736,AZV leicht
2017-09-04T07:43:45+0200,0,94d75815-800e-4a09-a7da-edf31dd0d736,AZV leicht
2017-09-04T07:44:07+0200,0,94d75815-800e-4a09-a7da-edf31dd0d736,AZV leicht
2017-09-04T07:44:13+0200,0,94d75815-800e-4a09-a7da-edf31dd0d736,AZV leicht
2017-09-04T07:44:19+0200,0,94d75815-800e-4a09-a7da-edf31dd0d736,AZV leicht
2017-09-04T07:55:08+0200,0,94d75815-800e-4a09-a7da-edf31dd0d736,AZV leicht
2017-09-04T07:55:15+0200,0,94d75815-800e-4a09-a7da-edf31dd0d736,AZV leicht
2017-09-04T07:55:20+0200,0,94d75815-800e-4a09-a7da-edf31dd0d736,AZV leicht
2017-09-04T07:55:26+0200,0,94d75815-800e-4a09-a7da-edf31dd0d736,AZV leicht
2017-09-04T07:55:32+0200,0,94d75815-800e-4a09-a7da-edf31dd0d736,AZV leicht
2017-09-04T07:55:38+0200,0,94d75815-800e-4a09-a7da-edf31dd0d736,AZV leicht
2017-08-22T11:49:58+0200,0,41b71de9-6f69-4167-bb53-2c2e7c901142,AZV schwer
2017-08-22T11:50:04+0200,0,41b71de9-6f69-4167-bb53-2c2e7c901142,AZV schwer
2017-08-22T11:50:18+0200,0,41b71de9-6f69-4167-bb53-2c2e7c901142,AZV schwer
2017-08-22T11:50:42+0200,0,41b71de9-6f69-4167-bb53-2c2e7c901142,AZV schwer
2017-08-22T11:59:05+0200,0,41b71de9-6f69-4167-bb53-2c2e7c901142,AZV schwer
2017-08-22T11:59:11+0200,0,41b71de9-6f69-4167-bb53-2c2e7c901142,AZV schwer
2017-08-22T11:59:19+0200,0,41b71de9-6f69-4167-bb53-2c2e7c901142,AZV schwer
2017-08-22T11:59:29+0200,0,41b71de9-6f69-4167-bb53-2c2e7c901142,AZV schwer
2017-08-22T11:59:36+0200,0,41b71de9-6f69-4167-bb53-2c2e7c901142,AZV schwer
2017-08-22T11:59:42+0200,0,41b71de9-6f69-4167-bb53-2c2e7c901142,AZV schwer
2017-08-22T12:05:55+0200,0,41b71de9-6f69-4167-bb53-2c2e7c901142,AZV schwer
